algo,taille,test,temps
seuil4,10000,8.32710266113E+AC0-06,0.0832710266113
seuil4,10000,8.31460952759E+AC0-06,0.0831460952759
seuil4,1000,5.31196594238E+AC0-06,0.00531196594238
seuil4,1000,5.31911849976E+AC0-06,0.00531911849976
seuil4,1000,5.43689727783E+AC0-06,0.00543689727783
seuil4,1000,5.02181053162E+AC0-06,0.00502181053162
seuil4,1000,5.34892082214E+AC0-06,0.00534892082214
seuil4,1000,5.15604019165E+AC0-06,0.00515604019165
seuil4,1000,5.18798828125E+AC0-06,0.00518798828125
seuil4,1000,5.31911849976E+AC0-06,0.00531911849976
seuil4,1000,4.91786003113E+AC0-06,0.00491786003113
seuil4,1000,5.54490089417E+AC0-06,0.00554490089417
seuil4,25000,9.33604240416E+AC0-06,0.233401060104
seuil4,25000,9.24900054932E+AC0-06,0.231225013733
seuil4,25000,9.41380500792E+AC0-06,0.235345125198
seuil4,25000,9.39931869508E+AC0-06,0.234982967377
seuil4,25000,9.23903465272E+AC0-06,0.230975866318
seuil4,25000,9.52503204344E+AC0-06,0.238125801086
seuil4,25000,9.43028450012E+AC0-06,0.235757112503
seuil4,25000,9.67052459716E+AC0-06,0.241763114929
seuil4,25000,9.42507743836E+AC0-06,0.235626935959
seuil4,25000,9.35235977172E+AC0-06,0.233808994293
seuil4,5000,7.67378807068E+AC0-06,0.0383689403534
seuil4,5000,7.46059417724E+AC0-06,0.0373029708862
seuil4,5000,7.53021240234E+AC0-06,0.0376510620117
seuil4,5000,7.54718780518E+AC0-06,0.0377359390259
seuil4,5000,7.64598846436E+AC0-06,0.0382299423218
seuil4,5000,7.60879516602E+AC0-06,0.0380439758301
seuil4,5000,8.00800323486E+AC0-06,0.0400400161743
seuil4,5000,7.46321678162E+AC0-06,0.0373160839081
seuil4,5000,7.58543014526E+AC0-06,0.0379271507263
seuil4,5000,7.39617347718E+AC0-06,0.0369808673859
seuil4,500,4.1618347168E+AC0-06,0.0020809173584
seuil4,500,4.6739578247E+AC0-06,0.00233697891235
seuil4,500,4.86421585084E+AC0-06,0.00243210792542
seuil4,500,4.7001838684E+AC0-06,0.0023500919342
seuil4,500,4.66012954712E+AC0-06,0.00233006477356
seuil4,500,4.9901008606E+AC0-06,0.0024950504303
seuil4,500,5.4521560669E+AC0-06,0.00272607803345
seuil4,500,5.59616088868E+AC0-06,0.00279808044434
seuil4,500,5.4383277893E+AC0-06,0.00271916389465
seuil4,500,5.5022239685E+AC0-06,0.00275111198425
